epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,253.855,0.71573,0.67682,1.25341,0.93954,0.92,0.95811,0.5463,1.53418,0.69674,2.42677,0.000264085,0.000264085,0.000264085
79,256.94,0.6667,0.59475,1.18755,0.81878,0.83198,0.83266,0.59063,1.42152,0.69806,2.30682,0.000253086,0.000253086,0.000253086
80,260.468,0.66902,0.62542,1.20354,0.82911,0.85086,0.83985,0.54834,1.48172,0.69057,2.42678,0.000242087,0.000242087,0.000242087
81,263.82,0.65047,0.59414,1.18371,0.81561,0.86691,0.83281,0.53012,1.56027,0.71887,2.54728,0.000231088,0.000231088,0.000231088
82,267.2,0.63955,0.58622,1.1617,0.82745,0.80481,0.82576,0.54757,1.52115,0.80857,2.51463,0.000220089,0.000220089,0.000220089
83,270.785,0.60358,0.57432,1.16816,0.86247,0.83316,0.83281,0.53189,1.52761,0.75912,2.46336,0.00020909,0.00020909,0.00020909
84,274.104,0.63246,0.59461,1.15369,0.83212,0.87474,0.83752,0.53982,1.51255,0.7386,2.46017,0.000198091,0.000198091,0.000198091
85,277.344,0.60925,0.57764,1.15339,0.83918,0.90594,0.87406,0.56162,1.58422,0.71355,2.68717,0.000187092,0.000187092,0.000187092
86,280.338,0.60672,0.57344,1.14243,0.83889,0.90317,0.87017,0.54905,1.54519,0.76085,2.5738,0.000176094,0.000176094,0.000176094
87,283.646,0.60926,0.55157,1.15742,0.85433,0.90197,0.85698,0.57639,1.3844,0.8241,2.31046,0.000165095,0.000165095,0.000165095
88,286.828,0.62591,0.59289,1.15851,0.81761,0.86859,0.83158,0.5612,1.36168,0.79636,2.287,0.000154096,0.000154096,0.000154096
89,290.016,0.59707,0.58319,1.13689,0.81794,0.86368,0.82985,0.55323,1.35629,0.8027,2.26027,0.000143097,0.000143097,0.000143097
90,293.004,0.64152,0.59576,1.16242,0.86168,0.90844,0.85653,0.55845,1.48916,0.72211,2.49333,0.000132098,0.000132098,0.000132098
91,297.274,0.46919,0.48786,1.11976,0.83351,0.87214,0.8297,0.56283,1.54925,0.74004,2.5774,0.000121099,0.000121099,0.000121099
92,300.541,0.47352,0.51577,1.15205,0.8197,0.87638,0.82945,0.55208,1.62514,0.76269,2.72898,0.0001101,0.0001101,0.0001101
93,304.035,0.46427,0.48157,1.11825,0.81048,0.87019,0.83944,0.53146,1.44162,0.8423,2.35078,9.91012e-05,9.91012e-05,9.91012e-05
94,307.095,0.47318,0.45343,1.12285,0.82812,0.83247,0.83898,0.54487,1.45151,0.8236,2.35635,8.81023e-05,8.81023e-05,8.81023e-05
95,310.063,0.44823,0.44284,1.10055,0.86851,0.81338,0.84299,0.54143,1.41553,0.79843,2.28402,7.71034e-05,7.71034e-05,7.71034e-05
96,313.346,0.44818,0.42859,1.10104,0.87459,0.8119,0.84492,0.54805,1.46496,0.75146,2.3731,6.61045e-05,6.61045e-05,6.61045e-05
97,316.694,0.42354,0.43822,1.09785,0.86882,0.81157,0.85066,0.55856,1.45565,0.71627,2.35536,5.51056e-05,5.51056e-05,5.51056e-05
98,320.033,0.42359,0.43561,1.09257,0.82046,0.86219,0.84945,0.56344,1.43649,0.71176,2.31298,4.41067e-05,4.41067e-05,4.41067e-05
99,323.219,0.42255,0.41961,1.05842,0.82108,0.86264,0.85143,0.55622,1.44428,0.70841,2.34661,3.31078e-05,3.31078e-05,3.31078e-05
100,326.354,0.41302,0.41215,1.05756,0.82239,0.86174,0.85368,0.55841,1.4308,0.72993,2.32543,2.21089e-05,2.21089e-05,2.21089e-05
